symbol,avg_annual_return,annualized_sd,risk_category
EGX:COMI,0.29823490340774106,0.3206613676904218,Conservative
EGX:EAST,0.24887608371341874,0.3578614371758677,Conservative
EGX:ABUK,0.1973744946947233,0.33957128047109436,Conservative
EGX:EXPA,0.19207635627009984,0.4023752490295025,Conservative
EGX:ORWE,0.14231167602976397,0.3793215887035848,Conservative
EGX:ETEL,0.12485906486192527,0.3086479147869102,Conservative
EGX:MTIE,0.12135372537540141,0.34280115136291733,Conservative
EGX:EKHOA,0.11138909281577188,0.3040160503590305,Conservative
EGX:AMOC,0.07871242901565645,0.3711843853696916,Conservative
EGX:DOMT,0.02842248216631464,0.3772208855930498,Conservative
EGX:FWRY,0.4276348722812351,0.44318715997917374,Moderate
EGX:MFPC,0.3944077094806425,0.47878953001097907,Moderate
EGX:SWDY,0.2680220224531408,0.41729676256015663,Moderate
EGX:EFIC,0.257970940301718,0.48670987528971993,Moderate
EGX:JUFO,0.23622387792437377,0.4119746631520568,Moderate
EGX:TMGH,0.2206553954098629,0.5096002963195427,Moderate
EGX:ISPH,0.19870168294097035,0.4589963036183792,Moderate
EGX:SUGR,0.15389799372561302,0.4277352857035234,Moderate
EGX:CIRA,0.13869383566754778,0.45315293507328913,Moderate
EGX:CCAP,0.07162836764301901,0.5173322946558943,Moderate
EGX:CIEB,0.8708637080884204,3.407187162937075,Aggressive
EGX:ESRS,0.5130547011384294,0.5964373650726514,Aggressive
EGX:BTFH,0.4031561200942082,0.8028860620780446,Aggressive
EGX:ORHD,0.3112520493554891,0.5666873988799347,Aggressive
EGX:ADIB,0.3079888653546269,0.5391119207692797,Aggressive
EGX:EGAL,0.30790644263635253,0.6026636389667666,Aggressive
EGX:HELI,0.3060046549894043,0.5652703599134323,Aggressive
EGX:MASR,0.252154517005373,0.5291547043718287,Aggressive
EGX:HRHO,0.24983494518863913,0.5484633487530642,Aggressive
EGX:PHDC,0.1604616285542409,0.5297013217251625,Aggressive
