fold,train_start,train_end,test_start,test_end,n_selected_features,rmse,mae,r2,directional_accuracy,information_coefficient,r2_out_of_sample
1,2003-06-16 10:00:00,2008-09-15 10:00:00,2009-09-29 10:00:00,2010-09-30 10:00:00,14,5.160429006656371,5.135791263635507,-205.3567399554779,0.7185217968577119,-0.17769472477751977,-152.4711483067336
2,2003-06-16 10:00:00,2009-09-28 10:00:00,2010-10-03 10:00:00,2011-12-08 10:00:00,10,0.5103492788450643,0.4007508043849811,-0.6385035416956497,0.6992992142705458,0.25745917635312227,-0.3227136845058176
3,2003-06-16 10:00:00,2010-09-30 10:00:00,2011-12-11 10:00:00,2012-12-27 10:00:00,13,0.30378227058720164,0.24169105758159568,-0.019201898513796056,0.667402649538338,0.2666578322994029,0.19607859698809083
4,2003-06-16 10:00:00,2011-12-08 10:00:00,2012-12-30 10:00:00,2014-01-14 10:00:00,17,1.249980290104666,1.200938727865846,-13.011231663917123,0.11754420050514863,0.12280100675775937,-4.155368588130892
5,2003-06-16 10:00:00,2012-12-27 10:00:00,2014-01-15 10:00:00,2015-01-26 10:00:00,16,0.6581925187308401,0.5294324830530619,-0.8249188860379901,0.36747783437087345,0.300675252501562,-0.6947321229123213
6,2003-06-16 10:00:00,2014-01-14 10:00:00,2015-01-27 10:00:00,2016-02-08 10:00:00,17,0.5401547314758322,0.43115423038695744,-0.1423166979369368,0.4283246977547496,0.02119385657609176,-0.13033060202279834
7,2003-06-16 10:00:00,2015-01-26 10:00:00,2016-02-09 10:00:00,2017-02-15 10:00:00,17,1.864070703536695,1.6967519925346566,-12.264389804553234,0.05895691609977324,0.1117776709362453,-4.246062521532663
8,2003-06-16 10:00:00,2016-02-08 10:00:00,2017-02-16 10:00:00,2017-08-24 00:00:00,19,2.1010185708679328,2.0584460976377903,-19.305088288540045,0.17182817182817184,0.44020646987225615,-10.730361095575159
9,2003-06-16 10:00:00,2017-02-15 10:00:00,2017-08-24 10:00:00,2018-02-25 10:00:00,17,0.8497150187909871,0.6924343746240823,-3.6098468485221185,0.3857934180514826,0.038448581727528595,-2.8545745220853873
10,2003-06-16 10:00:00,2017-08-24 00:00:00,2018-02-26 00:00:00,2018-08-28 10:00:00,17,1.7822036864320172,1.7357642427299549,-25.786702074432714,0.1793880837359098,0.19420657202600639,-10.361798540406049
11,2003-06-16 10:00:00,2018-02-25 10:00:00,2018-08-29 00:00:00,2019-02-27 10:00:00,17,0.6568294753075733,0.4780071883991774,-2.7572249180919015,0.3425760286225403,0.31061892372161554,-1.4330536133747809
12,2003-06-16 10:00:00,2018-08-28 10:00:00,2019-02-28 00:00:00,2019-09-02 00:00:00,17,0.52990559348565,0.43440676748350854,-1.3931008914679643,0.6476190476190476,-0.031485678655920064,0.20493161013910222
13,2003-06-16 10:00:00,2019-02-27 10:00:00,2019-09-02 10:00:00,2020-03-02 00:00:00,17,0.31606172140377026,0.26075431358594825,-0.4733636581827665,0.70578231292517,0.03051378338135968,0.10596971833710134
14,2003-06-16 10:00:00,2019-09-02 00:00:00,2020-03-02 10:00:00,2020-09-15 00:00:00,18,0.5406964118099203,0.46766898629918513,-1.7399631381397622,0.3198757763975155,0.20823739258580037,-1.3749350098895659
15,2003-06-16 10:00:00,2020-03-02 00:00:00,2020-09-15 10:00:00,2021-03-16 00:00:00,18,0.597755758964226,0.5161571823505008,-2.4440572342752263,0.40558292282430214,0.011701046694764237,-2.404953173222067
16,2003-06-16 10:00:00,2020-09-15 00:00:00,2021-03-16 10:00:00,2021-09-26 00:00:00,18,0.42582642381809277,0.31032460555035274,-0.38340803976624827,0.5582922824302134,0.007616864110500417,-0.343782157615534
17,2003-06-16 10:00:00,2021-03-16 00:00:00,2021-09-26 10:00:00,2022-03-27 00:00:00,18,0.4138715473668262,0.32000321200822957,-0.3394713806453289,0.7377497946892965,-0.09725777921150032,0.09583510760778235
18,2003-06-16 10:00:00,2021-09-26 00:00:00,2022-03-27 10:00:00,2022-10-09 00:00:00,18,0.7094514987409102,0.6118120903207394,-2.7434014558052655,0.750683433570257,-0.07140804140799671,0.10773797363358129
19,2003-06-16 10:00:00,2022-03-27 00:00:00,2022-10-09 10:00:00,2023-04-06 00:00:00,17,1.242731474318572,1.1406750978218048,-8.582271975199896,0.08095238095238096,-0.07685519334099844,-1.5428064283164358
20,2003-06-16 10:00:00,2022-10-09 00:00:00,2023-04-06 10:00:00,2023-10-23 00:00:00,17,0.6792420585963264,0.5210826301569261,-1.6039621362009995,0.5502645502645502,-0.05720969706646571,-0.4523530893878569
21,2003-06-16 10:00:00,2023-04-06 00:00:00,2023-10-23 10:00:00,2024-04-28 00:00:00,16,0.8087292564707199,0.667234358758074,-2.533823592167757,0.4779234680224779,0.03377026535848214,-2.2520406858899804
22,2003-06-16 10:00:00,2023-10-23 00:00:00,2024-04-28 10:00:00,2024-11-07 00:00:00,16,0.9278864063107642,0.8274166975573757,-6.122453124258383,0.2909189777052746,-0.04297503684404114,-5.108030851378552
